date,asset_type,symbol,volume
2025-04-22,equity,RSPH,86772.0
2025-04-22,equity,HPP,2416916.0
2025-04-22,equity,LUD,13957.0
2025-04-22,equity,AXTA,1356938.0
2025-04-22,equity,KE,139162.0
2025-04-22,equity,SCEpJ,23196.0
2025-04-22,equity,XPOF,381179.0
2025-04-22,equity,LRGE,15331.0
2025-04-22,equity,PRPO,4391.0
2025-04-22,equity,CIG,6075129.0
2025-04-22,equity,GFS,2172093.0
2025-04-22,equity,AL,745824.0
2025-04-22,equity,SKYH.WS,6384.0
2025-04-22,equity,USMV,2135817.0
2025-04-22,equity,ASTE,117465.0
2025-04-22,equity,TOI,3767324.0
2025-04-22,equity,FC,106567.0
2025-04-22,equity,ADNT,1209430.0
2025-04-22,equity,ENX,26697.0
2025-04-22,equity,DWX,101990.0
2025-04-22,equity,HEI,687930.0
2025-04-22,equity,PW,8019.0
2025-04-22,equity,AM,2597821.0
2025-04-22,equity,FFLG,54041.0
2025-04-22,equity,VMEO,1510294.0
2025-04-22,equity,CVU,27220.0
2025-04-22,equity,UDN,719024.0
2025-04-22,equity,WHLR,2657353.0
2025-04-22,equity,NCLH,10740944.0
2025-04-22,equity,STLD,1655207.0
2025-04-22,equity,KEN,70300.0
2025-04-22,equity,RGA,226698.0
2025-04-22,equity,OCFT,58163.0
2025-04-22,equity,MU,20351236.0
2025-04-22,equity,GGNpB,13153.0
2025-04-22,equity,NEXT,1471988.0
2025-04-22,equity,RSPR,10374.0
2025-04-22,equity,AHLpF,21112.0
2025-04-22,equity,TEN,179731.0
2025-04-22,equity,TEMP,2949.0
2025-04-22,equity,QDTE,306886.0
2025-04-22,equity,VTI,3802289.0
2025-04-22,equity,TEF,895361.0
2025-04-22,equity,WCCpA,27218.0
2025-04-22,equity,PSApM,10445.0
2025-04-22,equity,IMO,698509.0
2025-04-22,equity,GSRTR,208517.0
2025-04-22,equity,SMMT,4631071.0
2025-04-22,equity,AGL,7209850.0
2025-04-22,equity,TNON,369691.0
2025-04-22,equity,OTLK,296682.0
2025-04-22,equity,PRK,49489.0
2025-04-22,equity,ROUS,29989.0
2025-04-22,equity,BCX,258156.0
2025-04-22,equity,BACpE,18415.0
2025-04-22,equity,SLND,24372.0
2025-04-22,equity,UITB,175344.0
2025-04-22,equity,HLNE,383028.0
2025-04-22,equity,RBA,948500.0
2025-04-22,equity,TSLR,3873639.0
2025-04-22,equity,PSO,661725.0
2025-04-22,equity,CALF,1633736.0
2025-04-22,equity,EQH,1360974.0
2025-04-22,equity,LAR,561076.0
2025-04-22,equity,MGA,1823385.0
2025-04-22,equity,VTMX,885343.0
2025-04-22,equity,WDI,115312.0
2025-04-22,equity,HYGH,21551.0
2025-04-22,equity,UYG,35260.0
2025-04-22,equity,EHI,70644.0
2025-04-22,equity,SGML,1285809.0
2025-04-22,equity,CNRG,5874.0
2025-04-22,equity,JHG,1586277.0
2025-04-22,equity,JHEM,72629.0
2025-04-22,equity,IBLC,7738.0
2025-04-22,equity,RZB,17849.0
2025-04-22,equity,VIOG,29156.0
2025-04-22,equity,BAER,109706.0
2025-04-22,equity,AAPX,137682.0
2025-04-22,equity,CNAV,6412.0
2025-04-22,equity,ZIMV,111103.0
2025-04-22,equity,FXP,22160.0
2025-04-22,equity,SDS,11180869.0
2025-04-22,equity,IQQQ,127043.0
2025-04-22,equity,SFIX,1837502.0
2025-04-22,equity,ZG,307376.0
2025-04-22,equity,UPST,5252340.0
2025-04-22,equity,AMTM,2017852.0
2025-04-22,equity,EIM,170148.0
2025-04-22,equity,VINC,4482550.0
2025-04-22,equity,EMN,1861643.0
2025-04-22,equity,VIRT,879781.0
2025-04-22,equity,MSGM,313935.0
2025-04-22,equity,MC,1084400.0
2025-04-22,equity,VRTS,60373.0
2025-04-22,equity,JEMA,33158.0
2025-04-22,equity,BGX,33941.0
2025-04-22,equity,IGLD,86588.0
2025-04-22,equity,MMIN,244711.0
2025-04-22,equity,YBTC,150332.0
2025-04-22,equity,KVUE,25919175.0
2025-04-22,equity,CANF,285366.0
2025-04-22,equity,NLYpF,96132.0
2025-04-22,equity,BITC,5792.0
2025-04-22,equity,TENpF,7957.0
2025-04-22,equity,TRX,584648.0
2025-04-22,equity,AIG,3545095.0
2025-04-22,equity,ADBE,3250424.0
2025-04-22,equity,XERS,2216312.0
2025-04-22,equity,EPRT,1954328.0
2025-04-22,equity,IQDF,65786.0
2025-04-22,equity,SPYX,102725.0
2025-04-22,equity,BLE,138622.0
2025-04-22,equity,SWAN,150299.0
2025-04-22,equity,CBNA,5561.0
2025-04-22,equity,TWN,1799.0
2025-04-22,equity,LAB,1011878.0
2025-04-22,equity,RIGS,28489.0
2025-04-22,equity,SPIR,411627.0
2025-04-22,equity,SLS,967015.0
2025-04-22,equity,SOND,15827.0
2025-04-22,equity,EBAY,5133696.0
2025-04-22,equity,KIO,131980.0
2025-04-22,equity,TGTX,1303041.0
2025-04-22,equity,DIV,143513.0
2025-04-22,equity,TSLZ,105433548.0
2025-04-22,equity,NUVL,761254.0
2025-04-22,equity,DFNM,268721.0
2025-04-22,equity,EDC,110662.0
2025-04-22,equity,BURL,1437907.0
2025-04-22,equity,EDV,726595.0
2025-04-22,equity,NVCR,872357.0
2025-04-22,equity,THD,13096.0
2025-04-22,equity,SMN,102908.0
2025-04-22,equity,TTAM,400460.0
2025-04-22,equity,MFUS,25034.0
2025-04-22,equity,BFIX,12802.0
2025-04-22,equity,HIVE,12072148.0
2025-04-22,equity,FCNCO,14266.0
2025-04-22,equity,RAA,25014.0
2025-04-22,equity,PD,937326.0
2025-04-22,equity,SBND,395.0
2025-04-22,equity,IGR,365699.0
2025-04-22,equity,XME,1290994.0
2025-04-22,equity,BRDG,110678.0
2025-04-22,equity,VFL,20958.0
2025-04-22,equity,MTUM,680389.0
2025-04-22,equity,CTKB,505353.0
2025-04-22,equity,GRAL,1392060.0
2025-04-22,equity,DLN,111212.0
2025-04-22,equity,XPEL,279268.0
2025-04-22,equity,CENN,39806.0
2025-04-22,equity,IBTM,31914.0
2025-04-22,equity,ASC,372807.0
2025-04-22,equity,VRSN,727473.0
2025-04-22,equity,ESTA,687642.0
2025-04-22,equity,SBFM,887545.0
2025-04-22,equity,BUL,36801.0
2025-04-22,equity,KRG,1941347.0
2025-04-22,equity,SRLN,6774577.0
2025-04-22,equity,JWN,4328002.0
2025-04-22,equity,VLUE,617251.0
2025-04-22,equity,VEGI,4383.0
2025-04-22,equity,CFGpH,40703.0
2025-04-22,equity,NVMI,214615.0
2025-04-22,equity,WTRG,1134103.0
2025-04-22,equity,PPTA,1214409.0
2025-04-22,equity,KSA,690016.0
2025-04-22,equity,JHSC,76396.0
2025-04-22,equity,GEN,3906040.0
2025-04-22,equity,SHAK,984605.0
2025-04-22,equity,CON,1304738.0
2025-04-22,equity,KLIP,70073.0
2025-04-22,equity,TOVX,16975.0
2025-04-22,equity,SLSN,50837.0
2025-04-22,equity,IGM,1290634.0
2025-04-22,equity,VFMF,8803.0
2025-04-22,equity,ITM,1404309.0
2025-04-22,equity,DH,510566.0
2025-04-22,equity,BBLU,69285.0
2025-04-22,equity,XFLTpA,12873.0
2025-04-22,equity,CRF,1703325.0
2025-04-22,equity,ADEA,432117.0
2025-04-22,equity,PGY,813737.0
2025-04-22,equity,NMS,9929.0
2025-04-22,equity,CGDV,2872405.0
2025-04-22,equity,IMFL,26682.0
2025-04-22,equity,BA,9147290.0
2025-04-22,equity,HNW,33334.0
2025-04-22,equity,PJUN,109362.0
2025-04-22,equity,BCSF,268060.0
2025-04-22,equity,INBX,52139.0
2025-04-22,equity,SCCF,3365.0
2025-04-22,equity,ACU,35253.0
2025-04-22,equity,IDHQ,117452.0
2025-04-22,equity,DEC,370153.0
2025-04-22,equity,GSBD,391599.0
2025-04-22,equity,FNCL,147259.0
2025-04-22,equity,WBS,1520095.0
2025-04-22,equity,IHF,138579.0
2025-04-22,equity,NVTS,2670383.0
2025-04-22,equity,AKRO,1203365.0
2025-04-22,equity,RPRX,2555877.0
2025-04-22,equity,CUZ,1095656.0
2025-04-22,equity,VCIT,6430710.0
2025-04-22,equity,CLBK,117306.0
2025-04-22,equity,KJAN,292843.0
2025-04-22,equity,KT,1891631.0
2025-04-22,equity,OMAH,98028.0
2025-04-22,equity,DRI,935747.0
2025-04-22,equity,CSIQ,2779511.0
2025-04-22,equity,CARS,1075707.0
2025-04-22,equity,JXNpA,365623.0
2025-04-22,equity,HASI,974416.0
2025-04-22,equity,PESI,140951.0
2025-04-22,equity,BTBT,10686688.0
2025-04-22,equity,TARA,1298716.0
2025-04-22,equity,JEPI,4046309.0
2025-04-22,equity,ARCB,293111.0
2025-04-22,equity,SHFS,679082.0
2025-04-22,equity,TBF,148096.0
2025-04-22,equity,DFSV,1779165.0
2025-04-22,equity,ASAN,1544909.0
2025-04-22,equity,SRTY,2186682.0
2025-04-22,equity,GOGO,1419529.0
2025-04-22,equity,FLDR,156096.0
2025-04-22,equity,MOO,23473.0
2025-04-22,equity,KMT,748915.0
2025-04-22,equity,NNOX,806253.0
2025-04-22,equity,JPMpC,80885.0
2025-04-22,equity,CLEU,62102.0
2025-04-22,equity,VVV,1200169.0
2025-04-22,equity,EW,3005617.0
2025-04-22,equity,GEV,3471430.0
2025-04-22,equity,FURY,95786.0
2025-04-22,equity,MHH,17132.0
2025-04-22,equity,FSS,558380.0
2025-04-22,equity,ONMD,98977.0
2025-04-22,equity,GEF.B,10550.0
2025-04-22,equity,O,4058321.0
2025-04-22,equity,WWR,280879.0
2025-04-22,equity,ETNB,1128674.0
2025-04-22,equity,EPV,165854.0
2025-04-22,equity,BMY,13375998.0
2025-04-22,equity,SGHT,165019.0
2025-04-22,equity,FAS,823263.0
2025-04-22,equity,DIOD,557184.0
2025-04-22,equity,BCI,1728637.0
2025-04-22,equity,LU,2669254.0
2025-04-22,equity,CCOI,507837.0
2025-04-22,equity,PANL,329078.0
2025-04-22,equity,URG,3714974.0
2025-04-22,equity,DUSA,52186.0
2025-04-22,equity,INTU,1467459.0
2025-04-22,equity,NTES,4620891.0
2025-04-22,equity,TIGR,5267368.0
2025-04-22,equity,BMO,2597184.0
2025-04-22,equity,BOXX,885977.0
2025-04-22,equity,PFM,151313.0
2025-04-22,equity,FTV,2172967.0
2025-04-22,equity,PMMF,41344.0
2025-04-22,equity,USAF,15024.0
2025-04-22,equity,GPUSpD,2434.0
2025-04-22,equity,PFFR,29665.0
2025-04-22,equity,ACR,47989.0
2025-04-22,equity,CGMS,355775.0
2025-04-22,equity,CEW,7718.0
2025-04-22,equity,BABX,845686.0
2025-04-22,equity,WBSpG,5614.0
2025-04-22,equity,PSNL,553169.0
2025-04-22,equity,SCYB,218618.0
2025-04-22,equity,GII,12056.0
2025-04-22,equity,AIN,356810.0
2025-04-22,equity,BTCZ,861050.0
2025-04-22,equity,VVX,162133.0
2025-04-22,equity,PFE,36052602.0
2025-04-22,equity,RENT,63797.0
2025-04-22,equity,MANU,141212.0
2025-04-22,equity,KNX,2733251.0
2025-04-22,equity,TPSC,50278.0
2025-04-22,equity,MASS,1344246.0
2025-04-22,equity,NVDU,1139863.0
2025-04-22,equity,CYBN,219027.0
2025-04-22,equity,USNA,224575.0
2025-04-22,equity,AGMpG,9917.0
2025-04-22,equity,OUNZ,1396795.0
2025-04-22,equity,SDP,55088.0
2025-04-22,equity,COFpL,42550.0
2025-04-22,equity,EKSO,105879.0
2025-04-22,equity,CTM,449223.0
2025-04-22,equity,CFRpB,28400.0
2025-04-22,equity,ING,2421779.0
2025-04-22,equity,PNTG,222645.0
2025-04-22,equity,SCHR,2154348.0
2025-04-22,equity,SCHK,577928.0
2025-04-22,equity,KROS,871379.0
2025-04-22,equity,IJR,5663757.0
2025-04-22,equity,ALLpH,112595.0
2025-04-22,equity,EBS,1095066.0
2025-04-22,equity,CONL,7263091.0
2025-04-22,equity,BUD,1400085.0
2025-04-22,equity,QEFA,82148.0
2025-04-22,equity,GDO,9403.0
2025-04-22,equity,ETHT,7931844.0
2025-04-22,equity,FFIC,181391.0
2025-04-22,equity,ULTA,728555.0
2025-04-22,equity,FEBO,11500.0
2025-04-22,equity,LQD,20939647.0
2025-04-22,equity,HMST,96928.0
2025-04-22,equity,RODM,49150.0
2025-04-22,equity,EME,370609.0
2025-04-22,equity,RYAN,1023405.0
2025-04-22,equity,SBGI,466685.0
2025-04-22,equity,IAF,56885.0
2025-04-22,equity,IONQ.WS,23667.0
2025-04-22,equity,HAIN,2247160.0
2025-04-22,equity,TNET,281884.0
2025-04-22,equity,YCL,237590.0
2025-04-22,equity,NMR,1317049.0
2025-04-22,equity,BCS,19996716.0
2025-04-22,equity,MT,2184031.0
2025-04-22,equity,GVI,148027.0
2025-04-22,equity,SGHC,915957.0
2025-04-22,equity,PFBC,89204.0
2025-04-22,equity,MGM,5488435.0
2025-04-22,equity,GOLY,39041.0
2025-04-22,equity,PEBO,201004.0
2025-04-22,equity,SPYV,3628302.0
2025-04-22,equity,FCOR,11909.0
